Strategy,Final Value,PnL,PnL %,Total Trades,Won,Lost,Win Rate %,Max Drawdown %,Max DD Duration (bars),Sharpe Ratio,Symbol,Days
Keltner + EMA Cross,95992.59,-4007.41,-4.01,1,0,1,0.0,7.3,9.0,0.0,CGPOWER,114
Keltner Breakout (ATR 1.5),95524.74,-4475.26,-4.48,2,1,1,50.0,12.71,68.0,0.0,CGPOWER,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,CGPOWER,114
Squeeze Breakout,94856.38,-5143.62,-5.14,1,0,1,0.0,5.14,5.0,0.0,CGPOWER,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],97992.43,-2007.57,-2.01,1,0,1,0.0,4.63,9.0,0.0,COALINDIA,114
Keltner 5-Rule Retracement,97992.43,-2007.57,-2.01,1,0,1,0.0,4.63,9.0,0.0,COALINDIA,114
Keltner + EMA Cross,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,COALINDIA,114
Keltner Breakout (ATR 1.5),97992.43,-2007.57,-2.01,1,0,1,0.0,4.63,9.0,0.0,COALINDIA,114
Bollinger RSI,102567.99,2567.99,2.57,1,0,0,0.0,4.66,20.0,0.0,COALINDIA,114
Squeeze Breakout,106844.04,6844.04,6.84,2,2,0,100.0,5.68,18.0,0.0,COALINDIA,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],92722.31,-7277.69,-7.28,1,0,1,0.0,8.65,82.0,0.0,CUMMINSIND,114
Keltner 5-Rule Retracement,92722.31,-7277.69,-7.28,1,0,1,0.0,8.65,82.0,0.0,CUMMINSIND,114
Keltner + EMA Cross,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,CUMMINSIND,114
Keltner Breakout (ATR 1.5),92722.31,-7277.69,-7.28,1,0,1,0.0,8.65,82.0,0.0,CUMMINSIND,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,CUMMINSIND,114
Squeeze Breakout,96683.66,-3316.34,-3.32,2,0,1,0.0,8.65,82.0,0.0,CUMMINSIND,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],199839.73,99839.73,99.84,1,1,0,100.0,10.5,27.0,0.0,CUPID,114
Keltner 5-Rule Retracement,199839.73,99839.73,99.84,1,1,0,100.0,10.5,27.0,0.0,CUPID,114
